X Y Z
-6.92719e+10 1.19223e+11 5.16678e+10
-6.93678e+10 1.19175e+11 5.16465e+10
-6.94635e+10 1.19126e+11 5.16251e+10
-6.95592e+10 1.19077e+11 5.16037e+10
-6.96549e+10 1.19028e+11 5.15823e+10
-6.97505e+10 1.18979e+11 5.15608e+10
-6.9846e+10 1.1893e+11 5.15394e+10
-6.99415e+10 1.18881e+11 5.15179e+10
-7.00369e+10 1.18832e+11 5.14964e+10
-7.01323e+10 1.18783e+11 5.14748e+10
-7.02276e+10 1.18734e+11 5.14533e+10
-7.03228e+10 1.18684e+11 5.14317e+10
-7.0418e+10 1.18635e+11 5.14101e+10
-7.05132e+10 1.18586e+11 5.13884e+10
-7.06082e+10 1.18536e+11 5.13668e+10
-7.07032e+10 1.18487e+11 5.13451e+10
-7.07982e+10 1.18437e+11 5.13234e+10
-7.08931e+10 1.18387e+11 5.13016e+10
-7.09879e+10 1.18338e+11 5.12799e+10
-7.10827e+10 1.18288e+11 5.12581e+10
-7.11775e+10 1.18238e+11 5.12363e+10
-7.12721e+10 1.18188e+11 5.12145e+10
-7.13667e+10 1.18138e+11 5.11926e+10
-7.14613e+10 1.18089e+11 5.11708e+10
-7.15558e+10 1.18039e+11 5.11489e+10
-7.16502e+10 1.17988e+11 5.11269e+10
-7.17446e+10 1.17938e+11 5.1105e+10
-7.18389e+10 1.17888e+11 5.1083e+10
-7.19332e+10 1.17838e+11 5.10611e+10
-7.20274e+10 1.17788e+11 5.1039e+10
-7.21215e+10 1.17737e+11 5.1017e+10
-7.22156e+10 1.17687e+11 5.0995e+10
-7.23097e+10 1.17636e+11 5.09729e+10
-7.24036e+10 1.17586e+11 5.09508e+10
-7.24976e+10 1.17535e+11 5.09287e+10
-7.25914e+10 1.17485e+11 5.09065e+10
-7.26852e+10 1.17434e+11 5.08843e+10
-7.2779e+10 1.17383e+11 5.08621e+10
-7.28727e+10 1.17333e+11 5.08399e+10
-7.29663e+10 1.17282e+11 5.08177e+10
-7.30599e+10 1.17231e+11 5.07954e+10
-7.31534e+10 1.1718e+11 5.07732e+10
-7.32468e+10 1.17129e+11 5.07509e+10
-7.33402e+10 1.17078e+11 5.07285e+10
-7.34336e+10 1.17027e+11 5.07062e+10
-7.35268e+10 1.16976e+11 5.06838e+10
-7.36201e+10 1.16924e+11 5.06614e+10
-7.37132e+10 1.16873e+11 5.0639e+10
-7.38063e+10 1.16822e+11 5.06166e+10
-7.38994e+10 1.1677e+11 5.05941e+10
-7.39924e+10 1.16719e+11 5.05716e+10
-7.40853e+10 1.16667e+11 5.05491e+10
-7.41782e+10 1.16616e+11 5.05266e+10
-7.4271e+10 1.16564e+11 5.05041e+10
-7.43638e+10 1.16513e+11 5.04815e+10
-7.44565e+10 1.16461e+11 5.04589e+10
-7.45491e+10 1.16409e+11 5.04363e+10
-7.46417e+10 1.16358e+11 5.04137e+10
-7.47343e+10 1.16306e+11 5.0391e+10
-7.48267e+10 1.16254e+11 5.03684e+10
-7.49191e+10 1.16202e+11 5.03457e+10
-7.50115e+10 1.1615e+11 5.0323e+10
-7.51038e+10 1.16098e+11 5.03002e+10
-7.5196e+10 1.16046e+11 5.02775e+10
-7.52882e+10 1.15994e+11 5.02547e+10
-7.53804e+10 1.15941e+11 5.02319e+10
-7.54724e+10 1.15889e+11 5.02091e+10
-7.55644e+10 1.15837e+11 5.01863e+10
-7.56564e+10 1.15785e+11 5.01634e+10
-7.57483e+10 1.15732e+11 5.01405e+10
-7.58401e+10 1.1568e+11 5.01176e+10
-7.59319e+10 1.15627e+11 5.00947e+10
-7.60236e+10 1.15575e+11 5.00718e+10
-7.61153e+10 1.15522e+11 5.00488e+10
-7.62069e+10 1.15469e+11 5.00258e+10
-7.62985e+10 1.15417e+11 5.00028e+10
-7.63899e+10 1.15364e+11 4.99798e+10
-7.64814e+10 1.15311e+11 4.99568e+10
-7.65728e+10 1.15258e+11 4.99337e+10
-7.66641e+10 1.15205e+11 4.99106e+10
-7.67553e+10 1.15153e+11 4.98875e+10
-7.68465e+10 1.151e+11 4.98644e+10
-7.69377e+10 1.15046e+11 4.98413e+10
-7.70288e+10 1.14993e+11 4.98181e+10
-7.71198e+10 1.1494e+11 4.9795e+10
-7.72108e+10 1.14887e+11 4.97718e+10
-7.73017e+10 1.14834e+11 4.97486e+10
-7.73926e+10 1.14781e+11 4.97253e+10
-7.74834e+10 1.14727e+11 4.97021e+10
-7.75741e+10 1.14674e+11 4.96788e+10
-7.76648e+10 1.1462e+11 4.96555e+10
-7.77554e+10 1.14567e+11 4.96322e+10
-7.7846e+10 1.14514e+11 4.96089e+10
-7.79365e+10 1.1446e+11 4.95855e+10
-7.8027e+10 1.14406e+11 4.95622e+10
-7.81174e+10 1.14353e+11 4.95388e+10
-7.82077e+10 1.14299e+11 4.95154e+10
-7.8298e+10 1.14245e+11 4.9492e+10
-7.83882e+10 1.14191e+11 4.94685e+10
-7.84784e+10 1.14138e+11 4.94451e+10
-7.85685e+10 1.14084e+11 4.94216e+10
-7.86586e+10 1.1403e+11 4.93981e+10
-7.87486e+10 1.13976e+11 4.93746e+10
-7.88385e+10 1.13922e+11 4.9351e+10
-7.89284e+10 1.13868e+11 4.93275e+10
-7.90182e+10 1.13814e+11 4.93039e+10
-7.9108e+10 1.13759e+11 4.92804e+10
-7.91977e+10 1.13705e+11 4.92568e+10
-7.92873e+10 1.13651e+11 4.92331e+10
-7.93769e+10 1.13597e+11 4.92095e+10
-7.94665e+10 1.13542e+11 4.91858e+10
-7.9556e+10 1.13488e+11 4.91622e+10
-7.96454e+10 1.13434e+11 4.91385e+10
-7.97348e+10 1.13379e+11 4.91148e+10
-7.98241e+10 1.13325e+11 4.90911e+10
-7.99133e+10 1.1327e+11 4.90673e+10
-8.00025e+10 1.13216e+11 4.90436e+10
-8.00917e+10 1.13161e+11 4.90198e+10
-8.01808e+10 1.13106e+11 4.8996e+10
-8.02698e+10 1.13051e+11 4.89722e+10
-8.03588e+10 1.12997e+11 4.89484e+10
-8.04477e+10 1.12942e+11 4.89245e+10
-8.05366e+10 1.12887e+11 4.89007e+10
-8.06254e+10 1.12832e+11 4.88768e+10
-8.07141e+10 1.12777e+11 4.88529e+10
-8.08028e+10 1.12722e+11 4.8829e+10
-8.08914e+10 1.12667e+11 4.88051e+10
-8.098e+10 1.12612e+11 4.87811e+10
-8.10685e+10 1.12557e+11 4.87572e+10
-8.1157e+10 1.12502e+11 4.87332e+10
-8.12454e+10 1.12447e+11 4.87092e+10
-8.13338e+10 1.12391e+11 4.86852e+10
-8.14221e+10 1.12336e+11 4.86612e+10
-8.15103e+10 1.12281e+11 4.86372e+10
-8.15985e+10 1.12226e+11 4.86131e+10
-8.16866e+10 1.1217e+11 4.85891e+10
-8.17747e+10 1.12115e+11 4.8565e+10
-8.18627e+10 1.12059e+11 4.85409e+10
-8.19507e+10 1.12004e+11 4.85168e+10
-8.20386e+10 1.11948e+11 4.84927e+10
-8.21264e+10 1.11893e+11 4.84685e+10
-8.22142e+10 1.11837e+11 4.84444e+10
-8.2302e+10 1.11781e+11 4.84202e+10
-8.23897e+10 1.11726e+11 4.8396e+10
-8.24773e+10 1.1167e+11 4.83718e+10
-8.25649e+10 1.11614e+11 4.83476e+10
-8.26524e+10 1.11558e+11 4.83234e+10
-8.27398e+10 1.11502e+11 4.82991e+10
-8.28273e+10 1.11447e+11 4.82749e+10
